,wavelength,energy,field,deltaA
95,1350.0,0.9185185185185184,-10,-0.07514283974475185
96,1360.0,0.9117647058823528,-10,-0.048991007485762274
97,1370.0,0.9051094890510948,-10,-0.05194851275710836
98,1380.0,0.8985507246376812,-10,-0.02103181899870691
99,1390.0,0.8920863309352518,-10,-0.03409840037062655
100,1400.0,0.8857142857142857,-10,-0.039586196926275186
101,1410.0,0.8794326241134752,-10,-0.03653441624375702
102,1420.0,0.8732394366197183,-10,-0.042348455090391694
103,1430.0,0.8671328671328671,-10,-0.06676422439010302
104,1440.0,0.8611111111111112,-10,-0.08894396475539232
105,1450.0,0.8551724137931035,-10,-0.07535292178408781
106,1460.0,0.8493150684931506,-10,-0.06327795009663062
107,1470.0,0.8435374149659864,-10,-0.0558474189720763
108,1480.0,0.8378378378378378,-10,-0.03945982005037524
109,1490.0,0.8322147651006712,-10,-0.04733480459533931
110,1500.0,0.8266666666666667,-10,-0.04911071594516858
111,1510.0,0.8211920529801324,-10,-0.052226468816087446
112,1520.0,0.8157894736842105,-10,-0.04774942832489872
113,1530.0,0.8104575163398693,-10,-0.03717787049251936
114,1540.0,0.8051948051948052,-10,-0.025284830435671108
115,1550.0,0.8,-10,-0.017690147560700992
116,1560.0,0.7948717948717948,-10,-0.017433768610545904
117,1570.0,0.7898089171974523,-10,-0.02435600026473325
118,1580.0,0.7848101265822784,-10,-0.040844338167318646
119,1590.0,0.779874213836478,-10,-0.044456440685737654
120,1600.0,0.775,-10,-0.024612379214888232
121,1610.0,0.7701863354037267,-10,0.009998779056048386
122,1620.0,0.7654320987654321,-10,0.02563789501550858
123,1630.0,0.7607361963190185,-10,0.042302526775589225
124,1640.0,0.7560975609756098,-10,0.050250274230396914
125,1650.0,0.7515151515151515,-10,0.08716884305272952
126,1660.0,0.7469879518072289,-10,0.1892076652144542
127,1670.0,0.7425149700598802,-10,0.4084116675970532
128,1680.0,0.7380952380952381,-10,0.7096569340292803
129,1690.0,0.7337278106508875,-10,0.9321938627638957
130,1700.0,0.7294117647058823,-10,1.0014161793057692
131,1710.0,0.7251461988304093,-10,0.9965851563981011
