,wavelength,energy,field,deltaA
94,1340.0,0.9253731343283582,-10,-0.2278678214199312
95,1350.0,0.9185185185185184,-10,-0.17899276313241766
96,1360.0,0.9117647058823528,-10,-0.11619964188885688
97,1370.0,0.9051094890510948,-10,-0.11134450364837552
98,1380.0,0.8985507246376812,-10,-0.04466727181242958
99,1390.0,0.8920863309352518,-10,-0.005502490005878893
100,1400.0,0.8857142857142857,-10,-0.04466727181242958
101,1410.0,0.8794326241134752,-10,-0.10810774482138773
102,1420.0,0.8732394366197183,-10,-0.1420937125047582
103,1430.0,0.8671328671328671,-10,-0.14306474015285447
104,1440.0,0.8611111111111112,-10,-0.14856723015873363
105,1450.0,0.8551724137931035,-10,-0.15698280310890153
106,1460.0,0.8493150684931506,-10,-0.1420937125047582
107,1470.0,0.8435374149659864,-10,-0.14435944368364967
108,1480.0,0.8378378378378378,-10,-0.1456541472144446
109,1490.0,0.8322147651006712,-10,-0.1314124083756989
110,1500.0,0.8266666666666667,-10,-0.12720462190061493
111,1510.0,0.8211920529801324,-10,-0.12008375248124221
112,1520.0,0.8157894736842105,-10,-0.11069715188297787
113,1530.0,0.8104575163398693,-10,-0.12234948366013358
114,1540.0,0.8051948051948052,-10,-0.10907877246948403
115,1550.0,0.8,-10,-0.09936849598852118
116,1560.0,0.7948717948717948,-10,-0.09257130245184708
117,1570.0,0.7898089171974523,-10,-0.08221367420548646
118,1580.0,0.7848101265822784,-10,-0.08156632244008905
119,1590.0,0.779874213836478,-10,-0.06570620418784952
120,1600.0,0.775,-10,-0.051140789466404914
121,1610.0,0.7701863354037267,-10,-0.025894070615901287
122,1620.0,0.7654320987654321,-10,0.0038841105923850634
123,1630.0,0.7607361963190185,-10,0.03301494003527414
124,1640.0,0.7560975609756098,-10,0.05664327947228406
125,1650.0,0.7515151515151515,-10,0.08998189539025697
126,1660.0,0.7469879518072289,-10,0.19032141902687444
127,1670.0,0.7425149700598802,-10,0.40071074278107266
128,1680.0,0.7380952380952381,-10,0.6764825948404211
129,1690.0,0.7337278106508875,-10,0.9389837357091203
130,1700.0,0.7294117647058823,-10,1.0509755911228935
131,1710.0,0.7251461988304093,-10,1.1011453529412023
132,1720.0,0.7209302325581395,-10,1.1827116753812912
133,1730.0,0.7167630057803468,-10,1.235794520143889
134,1740.0,0.7126436781609196,-10,1.0499429226396961
135,1750.0,0.7085714285714285,-10,0.8636623704351977
136,400.0,3.1,-8,7.928835879999997
137,410.0,3.024390243902439,-8,6.783258104999999
138,420.0,2.952380952380953,-8,4.96215649
139,430.0,2.883720930232558,-8,3.6791483
140,440.0,2.8181818181818183,-8,2.8511085199999995
141,450.0,2.7555555555555555,-8,2.2687203625
142,460.0,2.6956521739130435,-8,1.839712245
143,470.0,2.6382978723404253,-8,1.47375
144,480.0,2.583333333333333,-8,1.1685
145,490.0,2.5306122448979598,-8,0.9247499999999998
146,500.0,2.48,-8,0.7265000000000001
147,510.0,2.431372549019608,-8,0.57
148,520.0,2.3846153846153846,-8,0.4364999999999999
149,530.0,2.339622641509434,-8,0.31975
150,540.0,2.2962962962962963,-8,0.215
151,550.0,2.2545454545454544,-8,0.12875
152,560.0,2.2142857142857144,-8,0.05725
153,570.0,2.175438596491228,-8,0.00125
154,580.0,2.1379310344827585,-8,-0.0364999999999999
155,590.0,2.101694915254237,-8,-0.06475
156,600.0,2.066666666666667,-8,-0.0765
157,610.0,2.0327868852459017,-8,-0.0817499999999999
158,620.0,2.0,-8,-0.07925
159,630.0,1.968253968253968,-8,-0.06825
160,640.0,1.9375,-8,-0.051
161,650.0,1.907692307692308,-8,-0.0315
162,660.0,1.878787878787879,-8,-0.0055
163,670.0,1.8507462686567164,-8,0.0257499999999999
164,680.0,1.8235294117647056,-8,0.059
165,690.0,1.7971014492753623,-8,0.0975
166,700.0,1.7714285714285714,-8,0.13325
167,710.0,1.7464788732394363,-8,0.1753507075
168,720.0,1.7222222222222223,-8,0.2159923399999999
169,730.0,1.6986301369863013,-8,0.2572545675
170,740.0,1.6756756756756757,-8,0.3001813
171,750.0,1.653333333333333,-8,0.3450851525
172,760.0,1.631578947368421,-8,0.3869112875
173,770.0,1.6103896103896105,-8,0.4370791174999999
174,780.0,1.5897435897435896,-8,0.4887497350000001
175,790.0,1.5696202531645569,-8,0.5530111475
176,800.0,1.55,-8,0.61396026
177,810.0,1.530864197530864,-8,0.6662702775
178,820.0,1.5121951219512195,-8,0.71234058075
179,830.0,1.4939759036144578,-8,0.751909925
180,840.0,1.4761904761904765,-8,0.7746970695000001
181,850.0,1.4588235294117646,-8,0.786696508
182,860.0,1.441860465116279,-8,0.8055271897500001
183,870.0,1.4252873563218391,-8,0.7979049212499998
184,880.0,1.4090909090909092,-8,0.7905138282499999
185,890.0,1.3932584269662922,-8,0.78901613625
186,900.0,1.3777777777777778,-8,0.7722369732750002
