wavelength,energy,fit,1st der,2nd der
660.0,1.87879,0.669046834032983,0.0015745285728094257,-2.52925710238242e-05
665.0,1.86466,0.6710010253384341,0.0014289384400209743,-3.930832036321501e-05
670.0,1.85075,0.6721623355825872,0.0015436696497826766,8.22189903458277e-06
675.0,1.83704,0.6734486755513274,0.001678948643780267,5.143105476802817e-05
680.0,1.82353,0.6752795165427214,0.0016753081452227413,6.239572918355672e-05
685.0,1.81022,0.6771499453806868,0.0016855604552696276,7.797255596877811e-05
690.0,1.7971,0.6787430798266894,0.0018443292792877032,0.00012011784557025394
695.0,1.78417,0.6808145989176613,0.0019323206110343897,0.000136322205708507
700.0,1.77143,0.6827904676142177,0.002129815007893491,0.00016764892060824036
705.0,1.75887,0.6850205733168173,0.0023355359818122675,0.0001898173302312384
710.0,1.74648,0.6874798287287878,0.00256984290638869,0.00020532916142292995
715.0,1.73427,0.6899726075402126,0.0028716015313266603,0.0002281719198915985
720.0,1.72222,0.6929788787571151,0.003099939840435792,0.00022544330783825465
725.0,1.71034,0.6963182437667418,0.003278571977761746,0.00021096752798814827
730.0,1.69863,0.6997452182520043,0.003463527556392102,0.0002022835558628391
735.0,1.68707,0.703054418232593,0.0037493212242129866,0.00021313798012695162
740.0,1.67568,0.7069118647442024,0.003931870066410185,0.0001968344933458272
745.0,1.66443,0.7110759582401756,0.0040388330141957075,0.00017118195300903287
750.0,1.65333,0.7153746910653312,0.004145844556153903,0.00014810319010033588
755.0,1.64238,0.7196235064168836,0.004305302333175866,0.00013953185032911504
760.0,1.63158,0.7238891864504446,0.0044962989609665695,0.0001397181898435302
765.0,1.62092,0.7284027864926403,0.0046311643566543,0.0001321943073405202
770.0,1.61039,0.732911905966402,0.004811613811905277,0.0001343405898237675
775.0,1.6,0.7377546745366833,0.0048869016971985505,0.00012238763925560462
780.0,1.58974,0.7426080056753207,0.004985481739205596,0.00011903075287779256
785.0,1.57962,0.7476429048238661,0.005075577210438132,0.0001116230103458265
790.0,1.56962,0.752731890610802,0.005185390063185193,0.00010847136651051406
795.0,1.55975,0.7578906035755488,0.00533532890144584,0.00010753478351183907
800.0,1.55,0.7633276472614738,0.0053945350842439874,9.39015433137626e-05
805.0,1.54037,0.7689077865096622,0.005412702932845506,7.714075086953475e-05
810.0,1.53086,0.7743678917173809,0.005488701093520527,7.476870879319993e-05
815.0,1.52147,0.7803266334180942,0.005419856945541277,4.301489512299804e-05
820.0,1.5122,0.7858933055188264,0.005495414132188084,4.336050582889146e-05
825.0,1.50303,0.7913400600343415,0.005656540570147962,5.442532523461965e-05
830.0,1.49398,0.7968724688710355,0.005809318274731946,6.078122279593918e-05
835.0,1.48503,0.8028527235445263,0.005813095102381689,3.7419152036178205e-05
840.0,1.47619,0.8086687250799787,0.005903735719404649,2.6838973094721775e-05
845.0,1.46746,0.8143954695238471,0.0060187060308711585,2.223327353039384e-05
850.0,1.45882,0.8203624668604523,0.006036557780507423,1.9276110864858672e-07
855.0,1.45029,0.8262950866852236,0.006003267247591579,-1.9916133618013386e-05
860.0,1.44186,0.8323115370922317,0.005941729136611911,-4.682759707857066e-05
