,wavelength,energy,ems,blank,absorbance,smoothed_absorbance
53,522.0,2.375478927203065,0.167726,0.317629,0.27731975743240644,0.2795249000244365
54,526.0,2.3574144486692017,0.181031,0.338198,0.2714180845559533,0.2738969804129858
55,530.0,2.339622641509434,0.197511,0.362917,0.264216024346303,0.2686222650031648
56,534.0,2.3220973782771535,0.211244,0.383547,0.2590342077069894,0.26373803509859123
57,538.0,2.3048327137546467,0.224854,0.401796,0.252104991124934,0.25927315199521395
58,542.0,2.2878228782287824,0.239167,0.427248,0.25197878243766936,0.2553199972034625
59,546.0,2.271062271062271,0.251314,0.445009,0.24815211177870267,0.25184149348342477
60,550.0,2.2545454545454544,0.262148,0.461611,0.24572960062061489,0.24884934258229507
61,554.0,2.2382671480144403,0.272432,0.479616,0.24563554405602228,0.24632930234464878
62,558.0,2.2222222222222223,0.28171,0.495058,0.2448538193560892,0.24430182701249095
63,562.0,2.206405693950178,0.290682,0.505924,0.24066714230072206,0.24275222661505616
64,566.0,2.1908127208480566,0.299318,0.520939,0.24065403735712843,0.24173113868843446
65,570.0,2.175438596491228,0.308077,0.537846,0.24199866654190272,0.2413280603314792
66,574.0,2.1602787456445993,0.319399,0.557682,0.24205307514929153,0.24145297729440493
67,578.0,2.1453287197231834,0.341127,0.596317,0.24256109561247952,0.24194927168952773
68,582.0,2.1305841924398625,0.34717,0.604496,0.24085124200551977,0.2428200538207248
69,586.0,2.1160409556313993,0.346132,0.60535,0.24276479495171532,0.2439409553566949
70,590.0,2.1016949152542375,0.358675,0.629093,0.24401374578179058,0.24533041787326104
71,594.0,2.0875420875420874,0.369173,0.649479,0.24533518256633036,0.2471313732352248
72,598.0,2.0735785953177257,0.368227,0.652225,0.2482818117504051,0.24928645071299113
73,602.0,2.0598006644518274,0.378847,0.67432,0.2504021883051517,0.2517393356802475
74,606.0,2.046204620462046,0.387484,0.700138,0.256929875318022,0.25446511944857353
75,610.0,2.0327868852459017,0.384493,0.699223,0.25972726786013123,0.25746410014062254
76,614.0,2.019543973941368,0.396608,0.728031,0.26378840209471965,0.26063519943319496
77,618.0,2.0064724919093853,0.410585,0.759586,0.26717387247666347,0.26404589051999494
78,622.0,1.9935691318327975,0.415651,0.776432,0.2713745964786818,0.2676655664062117
79,626.0,1.9808306709265175,0.416445,0.784489,0.27502920620208293,0.27138802855131455
80,630.0,1.9682539682539681,0.422579,0.802494,0.27853388294980075,0.2753894614916417
81,634.0,1.9558359621451105,0.425508,0.814396,0.28192790221791353,0.2795246607739964
82,638.0,1.9435736677115987,0.422396,0.813847,0.2848229700578573,0.28383356280081745
83,642.0,1.9314641744548287,0.424685,0.823978,0.28784869444947847,0.2883067252772437
84,646.0,1.9195046439628483,0.436464,0.852787,0.2908921428264528,0.29297176081125215
85,650.0,1.9076923076923078,0.439699,0.86945,0.29608913390267455,0.2977107878901666
86,654.0,1.8960244648318043,0.434664,0.868778,0.3007551424927484,0.302541234170194
87,658.0,1.884498480243161,0.437136,0.88422,0.3059437599518393,0.30762633105175113
88,662.0,1.8731117824773413,0.445498,0.912724,0.3114937117429002,0.31290876316295163
89,666.0,1.8618618618618619,0.44446,0.922306,0.3170423519911667,0.318456417991653
90,670.0,1.8507462686567164,0.435091,0.916752,0.32367176623520333,0.3240588452196331
91,674.0,1.8397626112759644,0.434389,0.9314,0.3312574144832039,0.32973741723758615
92,678.0,1.8289085545722714,0.438784,0.953983,0.3372898527359105,0.3354937745627785
93,682.0,1.8181818181818181,0.445162,0.978031,0.3418345356300101,0.34134961362276256
94,686.0,1.8075801749271136,0.438204,0.975895,0.34772675534252295,0.34733571636598437
95,690.0,1.7971014492753623,0.428865,0.969242,0.35411162050160905,0.35340833896326496
96,694.0,1.7867435158501441,0.426271,0.976749,0.3600971874645267,0.3597996349946699
97,698.0,1.7765042979942693,0.426516,0.997562,0.3690045696569104,0.36635257609981087
98,702.0,1.7663817663817665,0.426119,1.00745,0.3736926020377649,0.3731493491908203
99,706.0,1.7563739376770537,0.415316,0.996098,0.379923405531992,0.38014650124769844
100,710.0,1.7464788732394365,0.404665,0.984623,0.3861743330007972,0.38749339248779446
101,714.0,1.7366946778711485,0.401827,0.994389,0.3935171964812294,0.3950662931130659
102,718.0,1.7270194986072422,0.398348,1.003,0.40103829199114105,0.4028199840464507
103,722.0,1.7174515235457064,0.391665,1.00245,0.4081479563568391,0.410734047331525
104,726.0,1.7079889807162534,0.382143,0.999943,0.4177493358129558,0.41876988496807005
105,730.0,1.6986301369863013,0.369631,0.985722,0.4259860623008771,0.42680498192957955
106,734.0,1.6893732970027249,0.360659,0.978519,0.43347248863004184,0.4348161315484704
107,738.0,1.6802168021680217,0.354006,0.98444,0.4441786288590348,0.4428393384824729
108,742.0,1.6711590296495957,0.349581,0.989017,0.45165593629557677,0.45096266997534756
109,746.0,1.6621983914209115,0.337801,0.972233,0.4591094271320981,0.4591896541089919
110,750.0,1.6533333333333333,0.326876,0.95203,0.46426759908443893,0.4675692294499127
111,754.0,1.6445623342175066,0.314852,0.933903,0.4721953141311743,0.4760332615884774
112,758.0,1.6358839050131926,0.304354,0.925114,0.48281623942046625,0.48465194617421303
113,762.0,1.627296587926509,0.296267,0.921696,0.4929044228886046,0.4933814909227705
114,766.0,1.6187989556135771,0.287416,0.913761,0.5023216771363701,0.5021989384733017
115,770.0,1.6103896103896105,0.276796,0.900822,0.5124791742293913,0.5109663345421469
116,774.0,1.6020671834625324,0.264162,0.881229,0.5232184367078592,0.5197684329939004
117,778.0,1.5938303341902313,0.251406,0.855961,0.5320783391953998,0.5285596282807864
118,782.0,1.5856777493606138,0.241029,0.839542,0.5419731286549467,0.5373759269827226
119,786.0,1.5776081424936388,0.232972,0.827946,0.550698284313005,0.5463856272999644
120,790.0,1.5696202531645569,0.224427,0.814518,0.5598255820822233,0.5553331510152849
121,794.0,1.561712846347607,0.21869,0.802982,0.5648768854678017,0.5642683459437111
122,798.0,1.5538847117794485,0.207002,0.77277,0.5720757123037556,0.5731990603868815
123,802.0,1.546134663341646,0.196076,0.74506,0.5797668094596076,0.5820770647457179
124,806.0,1.5384615384615385,0.187837,0.726139,0.5872386194086425,0.5908607031785622
125,810.0,1.5308641975308641,0.18097,0.711308,0.5944511067935436,0.5995749143259094
126,814.0,1.5233415233415233,0.175782,0.70734,0.6046538166332307,0.608295840412708
127,818.0,1.5158924205378974,0.170442,0.702763,0.6152322664570331,0.616977238992695
128,822.0,1.508515815085158,0.162477,0.688297,0.6269839850575429,0.6256405456037542
129,826.0,1.5012106537530265,0.153779,0.664555,0.635633897480669,0.6343474798987259
130,830.0,1.4939759036144578,0.14557,0.641666,0.6442371459057572,0.6429828411990203
131,834.0,1.486810551558753,0.140077,0.627445,0.6512088308526425,0.6515023889850806
132,838.0,1.4797136038186158,0.134736,0.615177,0.6595164398525784,0.6598257667336203
133,842.0,1.4726840855106889,0.131623,0.610538,0.6663809145154804,0.6679805150454183
134,846.0,1.4657210401891252,0.12732,0.602726,0.6752232962343601,0.6760698951554293
135,850.0,1.4588235294117646,0.12259,0.590763,0.6829582422067415,0.6841326536817988
136,854.0,1.4519906323185012,0.118012,0.581547,0.692658649092418,0.6920697481471478
137,858.0,1.4452214452214451,0.112336,0.56403,0.7007832484486962,0.699946448218843
138,862.0,1.4385150812064966,0.107636,0.552494,0.7103700159962638,0.7077606491209264
139,866.0,1.4318706697459584,0.103089,0.5387,0.7181346487121663,0.7153681129641474
140,870.0,1.4252873563218391,0.10022,0.530094,0.723398490178319,0.7229318066125066
141,874.0,1.4187643020594967,0.096741,0.520695,0.7309728350359501,0.7302827323161313
142,878.0,1.4123006833712983,0.093201,0.509525,0.7377449255158182,0.7375000464782187
143,882.0,1.4058956916099774,0.090455,0.500919,0.7433349269486833,0.7445500328682095
144,886.0,1.399548532731377,0.086243,0.485659,0.7506075860572039,0.7513425299547205
145,890.0,1.3932584269662922,0.082459,0.47333,0.7589259675364801,0.7579275814277151
146,894.0,1.3870246085011186,0.078187,0.455873,0.7657093212292654,0.7642031125696858
147,898.0,1.3808463251670378,0.07428,0.439882,0.772464295914316,0.7702448238549638
148,902.0,1.3747228381374723,0.071534,0.429995,0.7789508952441186,0.7762060595244696
