wavelength,energy,-2_deltaA,-4_deltaA,0_deltaA,2_deltaA,4_deltaA,-2_mdeg,-4_mdeg,0_mdeg,2_mdeg,4_mdeg,-2_deltaA_diff,-4_deltaA_diff,0_deltaA_diff,2_deltaA_diff,4_deltaA_diff
456.0,2.719298245614035,0.0001115,-0.00031999999999999997,0.0003288333333333331,0.0006584999999999998,0.0010149999999999994,3.677493,-10.554239999999998,10.845581000000003,21.718647000000004,33.47672999999999,-0.0002173333333333331,-0.0006488333333333331,0.0,0.0003296666666666667,0.0006861666666666663
460.0,2.6956521739130435,0.00019949999999999992,-0.00019099999999999998,0.0003561666666666665,0.0006429999999999999,0.000928,6.579908999999999,-6.299561999999998,11.747088999999995,21.207425999999998,30.607296000000005,-0.0001566666666666666,-0.0005471666666666665,0.0,0.0002868333333333334,0.0005718333333333335
464.0,2.6724137931034484,0.00025775,-9.325000000000002e-05,0.000393388888888889,0.0006282500000000001,0.00086125,8.5011105,-3.0755715000000006,12.974752333333335,20.72094150000001,28.405747500000004,-0.00013563888888888897,-0.000486638888888889,0.0,0.00023486111111111114,0.00046786111111111106
468.0,2.6495726495726495,0.00029449999999999995,-9.999999999999972e-07,0.00044749999999999987,0.00062225,0.0008019999999999998,9.713198999999998,-0.03298199999999962,14.759445000000007,20.5230495,26.45156399999999,-0.00015299999999999992,-0.0004484999999999999,0.0,0.0001747500000000001,0.0003544999999999999
472.0,2.6271186440677967,0.00035674999999999997,7.431279e-05,0.00044505555555555563,0.0005997499999999998,0.0007372500000000001,11.766328500000002,2.4509844397800005,14.678822333333326,19.7809545,24.315979499999997,-8.830555555555566e-05,-0.00037074276555555566,0.0,0.00015469444444444417,0.0002921944444444444
476.0,2.6050420168067228,0.00038424999999999993,0.0001282272825,0.00047044444444444445,0.0005672499999999998,0.0006915000000000003,12.673333500000002,4.229192231415,15.51619866666666,18.709039499999996,22.807052999999996,-8.619444444444451e-05,-0.0003422171619444444,0.0,9.680555555555538e-05,0.00022105555555555583
480.0,2.5833333333333335,0.0003985000000000001,0.00019573617,0.00047772222222222215,0.0005237500000000001,0.0006325,13.143327,6.455770358940001,15.756234333333328,17.274322499999997,20.861114999999998,-7.922222222222206e-05,-0.0002819860522222221,0.0,4.602777777777797e-05,0.00015477777777777788
484.0,2.56198347107438,0.00044075,0.00026778782325,0.00047761111111111116,0.0005254999999999999,0.00059775,14.5368165,8.8321779864315,15.752569666666663,17.332041000000004,19.7149905,-3.6861111111111155e-05,-0.00020982328786111118,0.0,4.7888888888888764e-05,0.00012013888888888881
488.0,2.540983606557377,0.00048449999999999996,0.00033092619000000005,0.0004979444444444446,0.0005170000000000001,0.0005574999999999999,15.979779000000002,10.914607598580002,16.423203666666662,17.051694,18.38746499999999,-1.3444444444444669e-05,-0.00016701825444444458,0.0,1.905555555555547e-05,5.955555555555532e-05
492.0,2.5203252032520327,0.00052175,0.000376093635,0.0004849444444444445,0.0004994999999999999,0.0005207500000000002,17.2083585,12.40432026957,15.994437666666668,16.474509000000005,17.175376499999995,3.6805555555555495e-05,-0.00010885080944444449,0.0,1.455555555555547e-05,3.580555555555569e-05
