wavelength,energy,-2_deltaA,-4_deltaA,-6_deltaA,0_deltaA,2_deltaA,4_deltaA,6_deltaA,-2_mdeg,-4_mdeg,-6_mdeg,0_mdeg,2_mdeg,4_mdeg,6_mdeg,-2_deltaA_diff,-4_deltaA_diff,-6_deltaA_diff,0_deltaA_diff,2_deltaA_diff,4_deltaA_diff,6_deltaA_diff
260.0,4.769230769230769,0.003353749999999999,0.005889999999999999,-0.001339749999999999,0.000709,-0.00300075,-0.0058615,-0.0006797499999999998,110.61338250000006,194.26398,-44.1876345,23.38423799999999,-98.97073649999999,-193.323993,-22.41951449999999,0.002644749999999999,0.005181,-0.002048749999999999,0.0,-0.00370975,-0.0065705,-0.0013887499999999998
264.0,4.696969696969697,0.00273875,0.0058182500000000005,0.0010482500000000006,0.0007652500000000003,-0.002085250000000002,-0.006292249999999999,-0.0022770000000000012,90.32945250000006,191.89752150000004,34.573381499999925,25.239475499999998,-68.77571549999999,-207.53098949999998,-75.1000140000001,0.0019734999999999996,0.005053,0.00028300000000000027,0.0,-0.0028505000000000023,-0.0070574999999999995,-0.0030422500000000016
268.0,4.626865671641791,0.0026257499999999996,0.0056071091425,0.0023082500000000004,0.000876,-0.001731,-0.005776750000000001,-0.0033279999999999994,86.6024865,184.93367373793498,76.13070150000004,28.892232000000007,-57.09184200000004,-190.5287685,-109.764096,0.0017497499999999996,0.0047311091425,0.0014322500000000004,0.0,-0.002607,-0.006652750000000001,-0.004203999999999999
272.0,4.5588235294117645,0.0021072499999999997,0.005224500000000001,0.0032727499999999996,0.0006137499999999997,-0.001398,-0.005093,-0.004067000000000001,69.50131950000002,172.314459,107.94184049999996,20.242702500000007,-46.108836,-167.977326,-134.13779399999993,0.0014935,0.004610750000000001,0.002659,0.0,-0.0020117499999999996,-0.00570675,-0.004680750000000001
276.0,4.492753623188406,0.00198425,0.0047515000000000005,0.0037472500000000006,0.0005779999999999995,-0.0012917499999999978,-0.0045734999999999994,-0.004280500000000001,65.44453350000003,156.71397300000004,123.59179950000001,19.06359599999999,-42.60449849999998,-150.84317700000003,-141.17945100000003,0.0014062500000000004,0.004173500000000001,0.003169250000000001,0.0,-0.0018697499999999973,-0.005151499999999999,-0.004858500000000001
280.0,4.428571428571429,0.0018757500000000007,0.004073,0.0038300000000000005,0.0006462500000000001,-0.0010515000000000004,-0.003749250000000001,-0.004271250000000001,61.86598649999999,134.33568599999998,126.32105999999999,21.314617499999997,-34.68057299999998,-123.65776350000002,-140.8743675,0.0012295000000000006,0.00342675,0.0031837500000000004,0.0,-0.0016977500000000005,-0.004395500000000001,-0.004917500000000001
284.0,4.366197183098592,0.00172075,0.0035465,0.0037015,0.0005577499999999992,-0.0008892499999999994,-0.0031544999999999998,-0.00396975,56.75377649999999,116.970663,122.08287300000002,18.39571049999998,-29.32924349999996,-104.041719,-130.9302945,0.0011630000000000008,0.002988750000000001,0.0031437500000000007,0.0,-0.0014469999999999986,-0.003712249999999999,-0.004527499999999999
288.0,4.305555555555555,0.0016325000000000003,0.00304775,0.0033744801299999995,0.00049,-0.0007939999999999996,-0.0026742500000000004,-0.00357125,53.843115,100.52089050000001,111.29710364766001,16.161180000000016,-26.187708000000043,-88.20211349999997,-117.7869675,0.0011425000000000003,0.00255775,0.0028844801299999995,0.0,-0.0012839999999999996,-0.0031642500000000004,-0.004061250000000001
292.0,4.2465753424657535,0.0015062499999999998,0.0026505,0.00306875,0.00042924999999999994,-0.0007875,-0.0022689999999999993,-0.003082,49.6791375,87.418791,101.21351250000001,14.157523499999982,-25.97332499999999,-74.836158,-101.650524,0.0010769999999999998,0.00222125,0.0026395,0.0,-0.00121675,-0.0026982499999999993,-0.00351125
296.0,4.1891891891891895,0.0013716787955,0.00228,0.0027229999999999997,0.0003267499999999998,-0.0007549999999999996,-0.0019252499999999999,-0.0025954999999999997,45.240710033180996,75.19896000000001,89.80998600000001,10.776868499999992,-24.90141,-63.49859549999999,-85.60478099999999,0.0010449287955000002,0.00195325,0.00239625,0.0,-0.0010817499999999994,-0.0022519999999999997,-0.0029222499999999995
