wavelength,energy,0_deltaA,3_deltaA,5_deltaA,0_mdeg,3_mdeg,5_mdeg,0_deltaA_diff,3_deltaA_diff,5_deltaA_diff
264.0,4.696969696969697,-0.0036162499999999997,-0.0092785,0.0026429999999999995,-119.2711575,-306.023487,87.171426,0.0,-0.005662250000000001,0.006259249999999999
268.0,4.626865671641791,-0.0025325,-0.0077935,-8.150000000000041e-05,-83.526915,-257.045217,-2.6880330000000043,0.0,-0.005261,0.0024509999999999996
272.0,4.5588235294117645,-0.00139,-0.004710500000000001,-0.00022250000000000004,-45.84498,-155.361711,-7.338494999999995,0.0,-0.0033205000000000014,0.0011675
276.0,4.492753623188406,-0.0009347499999999998,-0.0027020000000000013,-0.0008608512049999999,-30.829924500000004,-89.11736400000001,-28.39259444331,0.0,-0.0017672500000000015,7.389879499999994e-05
280.0,4.428571428571429,-0.0005364999999999997,-0.0018525,-0.00106875,-17.69484300000002,-61.09915500000005,-35.2495125,0.0,-0.0013160000000000003,-0.0005322500000000004
284.0,4.366197183098592,-0.00047349999999999996,-0.00130525,-0.0009015,-15.616976999999991,-43.0497555,-29.733273,0.0,-0.00083175,-0.000428
288.0,4.305555555555555,-0.00033050000000000006,-0.0009367500000000001,-0.0007915000000000001,-10.900551000000007,-30.895888500000012,-26.10525299999999,0.0,-0.00060625,-0.00046100000000000004
292.0,4.2465753424657535,-0.00022825000000000015,-0.0008269999999999996,-0.0007077500000000005,-7.528141500000004,-27.276114000000007,-23.343010500000005,0.0,-0.0005987499999999995,-0.0004795000000000003
296.0,4.1891891891891895,-0.00022024999999999996,-0.0006247500000000003,-0.0005727500000000003,-7.2642855,-20.605504499999995,-18.890440500000004,0.0,-0.00040450000000000035,-0.0003525000000000004
300.0,4.133333333333334,-9.874999999999988e-05,-0.0004632500000000001,-0.0004355000000000001,-3.256972499999989,-15.278911499999992,-14.363660999999993,0.0,-0.00036450000000000024,-0.00033675000000000024
304.0,4.078947368421052,-0.00010450000000000043,-0.00041300000000000017,-0.00038425000000000004,-3.4466190000000125,-13.62156600000003,-12.673333499999998,0.0,-0.00030849999999999975,-0.0002797499999999996
308.0,4.025974025974026,-7.824999999999933e-05,-0.0003235,-0.00035024999999999987,-2.5808415000000053,-10.669677000000007,-11.551945500000002,0.0,-0.0002452500000000007,-0.00027200000000000054
