wavelength,energy,-2_deltaA,-4_deltaA,0_deltaA,10_deltaA,2_deltaA,4_deltaA,6_deltaA,8_deltaA,-2_mdeg,-4_mdeg,0_mdeg,10_mdeg,2_mdeg,4_mdeg,6_mdeg,8_mdeg,-2_deltaA_diff,-4_deltaA_diff,0_deltaA_diff,10_deltaA_diff,2_deltaA_diff,4_deltaA_diff,6_deltaA_diff,8_deltaA_diff
488.0,2.540983606557377,-3.224999999999997e-05,-0.00015907381,-5.477777777777778e-05,-3.524999999999991e-05,-0.00013775000000000007,-0.00012774999999999993,9.350000000000005e-05,6.700000000000022e-05,-1.0636695000000005,-5.246572401419999,-1.8066806666666668,-1.1626155000000011,-4.543270500000002,-4.2134505,3.0838169999999963,2.2097940000000023,2.2527777777777807e-05,-0.00010429603222222221,0.0,1.952777777777787e-05,-8.297222222222229e-05,-7.297222222222216e-05,0.00014827777777777783,0.000121777777777778
492.0,2.5203252032520327,-2.1750000000000014e-05,-0.00015265368500000002,-4.027777777777775e-05,-1.699999999999987e-05,-0.00012600000000000003,-0.00011249999999999997,0.0001054999999999998,7.824999999999998e-05,-0.7173584999999996,-5.03482383867,-1.3284416666666665,-0.560693999999998,-4.155731999999997,-3.710474999999999,3.4796010000000024,2.5808414999999982,1.8527777777777737e-05,-0.00011237590722222227,0.0,2.327777777777788e-05,-8.572222222222228e-05,-7.222222222222222e-05,0.00014577777777777755,0.00011852777777777773
496.0,2.5,-1.4249999999999994e-05,-0.00013692277499999998,-2.866666666666664e-05,4.499999999999947e-06,-0.00012274999999999998,-9.125000000000008e-05,0.00011125000000000002,8.925000000000014e-05,-0.46999350000000106,-4.51598696505,-0.9454840000000004,0.14841899999998986,-4.0485405,-3.0096074999999978,3.6692475000000044,2.9436434999999967,1.4416666666666647e-05,-0.00010825610833333334,0.0,3.316666666666659e-05,-9.408333333333333e-05,-6.258333333333344e-05,0.00013991666666666666,0.00011791666666666678
500.0,2.48,2.500000000000061e-07,-0.00012815781749999999,-2.9166666666666707e-05,2.4999999999999957e-05,-9.875000000000004e-05,-7.874999999999999e-05,0.00011749999999999998,0.00010725000000000003,0.00824549999999924,-4.226901136785,-0.9619750000000007,0.8245500000000057,-3.2569725,-2.597332500000002,3.8753850000000014,3.537319499999999,2.9416666666666713e-05,-9.899115083333328e-05,0.0,5.4166666666666664e-05,-6.958333333333334e-05,-4.958333333333328e-05,0.0001466666666666667,0.00013641666666666674
504.0,2.4603174603174605,1.4750000000000006e-05,-0.00012336139000000001,-1.550000000000005e-05,4.3249999999999994e-05,-7.6e-05,-7.15e-05,0.00012799999999999997,0.00012074999999999998,0.48648449999999954,-4.0687053649800005,-0.5112209999999981,1.4264715000000017,-2.5066319999999997,-2.3582129999999992,4.221695999999998,3.9825765000000004,3.0250000000000058e-05,-0.00010786138999999996,0.0,5.8750000000000046e-05,-6.049999999999995e-05,-5.599999999999995e-05,0.00014350000000000002,0.00013625000000000003
508.0,2.440944881889764,1.4740420000000014e-05,-0.00011307367,-4.2729111111112963e-07,6.174999999999996e-05,-5.9750000000000016e-05,-5.275000000000001e-05,0.00013775000000000001,0.00014325000000000004,0.4861685324399998,-3.72939578394,-0.014092915426666686,2.0366385000000022,-1.9706744999999994,-1.7398004999999985,4.5432705,4.724671500000003,1.5167711111111143e-05,-0.00011264637888888887,0.0,6.217729111111109e-05,-5.9322708888888886e-05,-5.232270888888888e-05,0.00013817729111111114,0.00014367729111111117
512.0,2.421875,1.195382999999999e-05,-0.0001105119,9.889216666666663e-06,8.875000000000007e-05,-4.175000000000001e-05,-2.924999999999998e-05,0.00015300000000000003,0.00015675,0.3942612210600003,-3.6449034858,0.3261661441000001,2.9271524999999983,-1.3769984999999991,-0.9647234999999998,5.046246,5.169928500000003,2.0646133333333258e-06,-0.00012040111666666666,0.0,7.88607833333334e-05,-5.1639216666666675e-05,-3.913921666666664e-05,0.00014311078333333337,0.00014686078333333332
516.0,2.4031007751937983,2.5111232500000003e-05,-9.6251795e-05,7.44710483333331e-06,0.00011099999999999999,-2.344429250000001e-05,-4.971079999999996e-06,0.00016875,0.000174,0.8282186703149996,-3.1745767026899996,0.2456204116129994,3.661002,-0.7732396552350003,-0.16395616055999973,5.565712499999998,5.738868,1.7664127666666693e-05,-0.00010369889983333332,0.0,0.00010355289516666668,-3.089139733333332e-05,-1.2418184833333306e-05,0.0001613028951666667,0.0001665528951666667
520.0,2.3846153846153846,3.00149625e-05,-8.947896e-05,3.068323277777777e-05,0.00013325,-3.3958350000000013e-06,1.6491135500000003e-05,0.000182248545,0.00019299999999999997,0.989953493175,-2.9511950587199998,1.0119943834766665,4.3948515000000015,-0.11200142997000029,0.543910631061,6.01092151119,6.365526000000001,-6.682702777777699e-07,-0.00012016219277777777,0.0,0.00010256676722222224,-3.407906777777777e-05,-1.4192097277777768e-05,0.00015156531222222224,0.0001623167672222222
524.0,2.366412213740458,3.4859214499999996e-05,-7.48213475e-05,5.0604144777777784e-05,0.00015025,1.0847982499999997e-05,3.14857775e-05,0.0002004720725,0.00021111796499999997,1.1497266126389998,-2.467757683245,1.6690259030606667,4.9555454999999995,0.35778815881500003,1.0384639135049998,6.611969895194999,6.963092721630001,-1.5744930277777788e-05,-0.00012542549227777779,0.0,9.964585522222221e-05,-3.975616227777779e-05,-1.9118367277777787e-05,0.0001498679277222222,0.00016051382022222219
528.0,2.3484848484848486,4.059387075e-05,-8.1148085e-05,5.401885888888888e-05,0.00016974999999999992,2.047304750000002e-05,5.3537145e-05,0.00022161184500000001,0.0002283143725,1.3388670450765,-2.67642613947,1.7816500038733336,5.598694499999999,0.6752420526450003,1.7657621163900004,7.30920187179,7.530264633794999,-1.3424988138888882e-05,-0.00013516694388888888,0.0,0.00011573114111111104,-3.354581138888886e-05,-4.817138888888785e-07,0.00016759298611111113,0.00017429551361111112
532.0,2.330827067669173,5.8820637749999995e-05,-7.72884075e-05,6.996170166666667e-05,0.00018772804249999998,3.5750000000000015e-05,7.199999999999999e-05,0.00024136865499999998,0.00025325,1.9400222742704998,-2.549126256165,2.30747684437,6.191646297735,1.1791065000000005,2.3747040000000013,7.96082097921,8.3526915,-1.1141063916666672e-05,-0.00014725010916666667,0.0,0.00011776634083333331,-3.421170166666665e-05,2.0382983333333213e-06,0.00017140695333333331,0.00018328829833333334
536.0,2.3134328358208953,6.415564249999999e-05,-7.793787975e-05,8.168899333333333e-05,0.00020615629,4.9999999999999996e-05,9.899999999999997e-05,0.00025518154,0.0002656521025,2.115981400935,-2.5705471499145,2.6942663781199996,6.79944675678,1.6491000000000007,3.265217999999999,8.41639755228,8.761737644655,-1.7533350833333342e-05,-0.00015962687308333334,0.0,0.00012446729666666667,-3.168899333333334e-05,1.7311006666666633e-05,0.00017349254666666666,0.00018396310916666663
540.0,2.2962962962962963,6.41094825e-05,-6.955031024999999e-05,8.40322611111111e-05,0.000222532365,6.600000000000003e-05,0.00011200000000000001,0.0002727949525,0.00028686619125,2.1144589518149997,-2.2939083326654996,2.7715520359666663,7.339562462429999,2.176812,3.6939840000000004,8.997323123354999,9.4614207198075,-1.9922778611111095e-05,-0.00015358257136111107,0.0,0.00013850010388888892,-1.8032261111111065e-05,2.7967738888888915e-05,0.00018876269138888894,0.0002028339301388889
544.0,2.2794117647058822,7.346824499999999e-05,-6.390987e-05,9.583333333333332e-05,0.0002442165,8.650000000000004e-05,0.00013050000000000003,0.00029064910499999993,0.000302392945,2.4231296565899996,-2.1078753323400004,3.160775,8.054748603,2.8529430000000016,4.304150999999999,9.58618878111,9.973524111989999,-2.236508833333333e-05,-0.0001597432033333333,0.0,0.0001483831666666667,-9.33333333333328e-06,3.4666666666666705e-05,0.0001948157716666666,0.00020655961166666666
548.0,2.2627737226277373,8.139078499999999e-05,-5.04794175e-05,0.00010605555555555558,0.000267260461,9.900000000000002e-05,0.00015250000000000002,0.00031125,0.000319989985,2.68443087087,-1.664912147985,3.4979243333333327,8.814784524702,3.265217999999999,5.0297550000000015,10.265647500000002,10.55390968527,-2.4664770555555594e-05,-0.00015653497305555557,0.0,0.00016120490544444443,-7.055555555555558e-06,4.644444444444444e-05,0.00020519444444444442,0.0002139344294444444
552.0,2.246376811594203,8.399999999999998e-05,-4.440203499999998e-05,0.00012511111111111113,0.000288060655,0.00012174999999999995,0.0001695,0.00032775,0.00033575,2.7704879999999994,-1.4644679183699996,4.126414666666666,9.50081652321,4.015558499999999,5.590449,10.809850500000001,11.073706500000002,-4.111111111111115e-05,-0.0001695131461111111,0.0,0.00016294954388888888,-3.3611111111111808e-06,4.438888888888887e-05,0.0002026388888888889,0.00021063888888888887
556.0,2.2302158273381294,9.775000000000002e-05,-3.3782647499999984e-05,0.00013861111111111113,0.0002969729525,0.00013125000000000002,0.00019250000000000007,0.0003439999999999999,0.00035150000000000003,3.223990500000001,-1.114219279845,4.571671666666666,9.794761919354999,4.3288875,6.349035000000001,11.345807999999998,11.593173,-4.0861111111111116e-05,-0.00017239375861111112,0.0,0.00015836184138888886,-7.361111111111115e-06,5.388888888888894e-05,0.00020538888888888877,0.0002128888888888889
560.0,2.2142857142857144,0.00010324999999999999,-2.6499999999999994e-05,0.00015033333333333337,0.00031375,0.00015499999999999997,0.00021749999999999997,0.0003600000000000001,0.00037075000000000004,3.4053915000000003,-0.8740229999999993,4.958294,10.3481025,5.112209999999999,7.173584999999997,11.873519999999997,12.2280765,-4.7083333333333385e-05,-0.00017683333333333337,0.0,0.00016341666666666664,4.666666666666599e-06,6.71666666666666e-05,0.0002096666666666667,0.00022041666666666667
564.0,2.198581560283688,0.00011524999999999996,-1.3500000000000003e-05,0.0001656111111111111,0.000324,0.00017975000000000006,0.0002267499999999999,0.00037725000000000004,0.00038500000000000003,3.8011754999999994,-0.4452569999999998,5.462185666666666,10.686167999999999,5.928514499999999,7.478668500000001,12.442459500000002,12.698070000000001,-5.036111111111116e-05,-0.00017911111111111112,0.0,0.0001583888888888889,1.4138888888888946e-05,6.113888888888879e-05,0.00021163888888888892,0.00021938888888888892
568.0,2.183098591549296,0.00013575000000000002,3.4999999999999767e-06,0.0001760555555555555,0.00033325,0.00018849999999999997,0.00024799999999999996,0.00039175000000000006,0.00039575000000000005,4.477306499999999,0.11543700000000001,5.806664333333336,10.9912515,6.217107000000002,8.179535999999999,12.920698500000002,13.052626500000002,-4.030555555555547e-05,-0.00017255555555555552,0.0,0.0001571944444444445,1.2444444444444482e-05,7.194444444444446e-05,0.00021569444444444457,0.00021969444444444456
572.0,2.167832167832168,0.00014924999999999997,6.249999999999989e-06,0.0001942777777777777,0.00034475,0.00021125,0.00025975,0.00040299999999999993,0.0004089999999999999,4.922563500000001,0.20613750000000053,6.407669666666665,11.3705445,6.9674475000000005,8.567074499999997,13.291746,13.489638,-4.502777777777773e-05,-0.0001880277777777777,0.0,0.0001504722222222223,1.6972222222222313e-05,6.54722222222223e-05,0.00020872222222222223,0.0002147222222222222
576.0,2.1527777777777777,0.00016224999999999996,2.4999999999999957e-05,0.00021783333333333328,0.00035975000000000015,0.0002222499999999999,0.00029399999999999994,0.00041325,0.00041250000000000005,5.3513295,0.8245499999999986,7.184578999999999,11.865274500000003,7.330249499999997,9.696707999999997,13.629811499999999,13.605075,-5.558333333333332e-05,-0.00019283333333333332,0.0,0.00014191666666666687,4.4166666666666204e-06,7.616666666666666e-05,0.0001954166666666667,0.00019466666666666677
580.0,2.1379310344827585,0.00017375000000000002,4.799999999999992e-05,0.00022633333333333338,0.0003645,0.00023625000000000008,0.0003122499999999999,0.00042200000000000007,0.00042050000000000003,5.730622499999999,1.5831359999999997,7.464925999999997,12.021939000000001,7.791997500000001,10.2986295,13.918404,13.868930999999998,-5.2583333333333356e-05,-0.00017833333333333346,0.0,0.00013816666666666665,9.9166666666667e-06,8.591666666666654e-05,0.0001956666666666667,0.00019416666666666665
